name,lat,lon
La Olita,-37.8664973,-58.0198251
Facilódromo,-37.865895,-58.022639
Todos Contentos,-37.86763,-58.025154
El Altillo,-37.868003,-58.025724
Chiavolandia,-37.869758,-58.027536
Baticueva,-37.871294,-58.028728
El Bosque,-37.873514,-58.031647
Zeus,-37.874012,-58.032933
Las Placas,-37.874667,-58.034054
